Area,Room,Parking,Warehouse,Elevator,Address,Price
65,1,TRUE,TRUE,FALSE,Pirouzi,58333.33
90,2,TRUE,TRUE,TRUE,Central Janatabad,126000
125,2,TRUE,TRUE,TRUE,Heravi,270000
140,3,TRUE,TRUE,TRUE,Heravi,303333.33
71,2,FALSE,TRUE,TRUE,Hashemi,51666.67
71,2,FALSE,TRUE,TRUE,Jeyhoon,54666.67
236,4,TRUE,TRUE,TRUE,Gheitarieh,666666.67
67,2,TRUE,TRUE,TRUE,Central Janatabad,91666.67
60,1,TRUE,TRUE,TRUE,Punak,58333.33
220,3,TRUE,TRUE,TRUE,Heravi,513333.33
44,1,TRUE,TRUE,FALSE,Andisheh,11666.67
68,1,TRUE,TRUE,TRUE,Heravi,137166.67
100,2,TRUE,TRUE,TRUE,Pasdaran,266666.67
86,2,TRUE,TRUE,TRUE,Pardis,19333.33
84,2,TRUE,TRUE,TRUE,Pardis,18666.67
94,2,TRUE,TRUE,TRUE,Heravi,160000
55,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,51666.67
113,2,TRUE,TRUE,TRUE,Saadat Abad,250000
71,2,TRUE,TRUE,TRUE,Islamshahr,21000
70,2,TRUE,TRUE,FALSE,Dehkade Olampic,66666.67
200,3,TRUE,TRUE,TRUE,Golestan,80000
106,2,TRUE,TRUE,TRUE,Golestan,36666.67
320,4,TRUE,TRUE,TRUE,Saadat Abad,800000
114,2,TRUE,TRUE,TRUE,West Pars,127333.33
100,2,TRUE,TRUE,TRUE,Punak,200000
122,2,TRUE,TRUE,TRUE,Saadat Abad,193333.33
200,2,TRUE,TRUE,FALSE,Damavand,116666.67
154,3,TRUE,TRUE,TRUE,Saadat Abad,410000
210,3,TRUE,TRUE,TRUE,Pasdaran,525000
200,3,TRUE,TRUE,TRUE,East Ferdows Boulevard,366666.67
65,1,TRUE,TRUE,TRUE,Southern Janatabad,100000
124,3,TRUE,TRUE,TRUE,Pirouzi,132266.67
83,2,TRUE,TRUE,TRUE,Republic,63633.33
270,4,TRUE,TRUE,TRUE,Farmanieh,1260000
104,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,190000
150,3,TRUE,TRUE,TRUE,Zaferanieh,349666.67
103,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,106666.67
48,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,64000
165,3,TRUE,TRUE,TRUE,Gheitarieh,410000
135,2,TRUE,TRUE,FALSE,Gheitarieh,246666.67
86,2,TRUE,TRUE,TRUE,Saadat Abad,206666.67
75,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,78333.33
58,1,TRUE,TRUE,TRUE,East Ferdows Boulevard,61666.67
125,2,TRUE,TRUE,TRUE,Shahrake Gharb,716666.67
82,2,TRUE,TRUE,TRUE,Qazvin Imamzadeh Hassan,62866.67
58,2,TRUE,TRUE,TRUE,Shahran,73333.33
101,2,TRUE,TRUE,TRUE,Beryanak,77433.33
90,2,TRUE,TRUE,TRUE,Niavaran,226666.67
180,3,TRUE,TRUE,TRUE,Farmanieh,690000
132,3,TRUE,TRUE,TRUE,Gheitarieh,208333.33
81,2,TRUE,TRUE,TRUE,Valiasr,62100
153,3,TRUE,TRUE,TRUE,Pasdaran,433333.33
166,3,TRUE,TRUE,TRUE,Qalandari,416666.67
200,3,TRUE,TRUE,TRUE,Pasdaran,566666.67
113,2,TRUE,TRUE,TRUE,Pasdaran,283333.33
100,2,TRUE,TRUE,TRUE,Valiasr,76666.67
80,2,TRUE,TRUE,TRUE,Central Janatabad,111666.67
76,2,TRUE,TRUE,TRUE,Jeyhoon,66666.67
128,3,TRUE,TRUE,TRUE,Punak,190000
210,3,TRUE,TRUE,TRUE,Shahrake Gharb,900000
140,2,TRUE,TRUE,TRUE,Shahrake Gharb,420000
74,2,TRUE,TRUE,TRUE,Amir Bahador,56733.33
75,1,TRUE,TRUE,TRUE,Central Janatabad,100000
120,2,TRUE,TRUE,TRUE,Pasdaran,250000
120,2,TRUE,TRUE,TRUE,Pasdaran,250000
85,2,TRUE,TRUE,TRUE,Ekhtiarieh,166666.67
105,2,TRUE,TRUE,TRUE,Pardis,23333.33
175,3,TRUE,TRUE,TRUE,Farmanieh,520000
170,3,TRUE,TRUE,TRUE,Farmanieh,511666.67
58,1,TRUE,TRUE,TRUE,Ekbatan,93666.67
75,2,TRUE,TRUE,TRUE,Parand,13166.67
160,3,TRUE,TRUE,TRUE,Gheitarieh,503333.33
62,1,TRUE,TRUE,TRUE,Shahran,61666.67
93,2,TRUE,TRUE,TRUE,Rudhen,48333.33
75,2,TRUE,TRUE,TRUE,Islamshahr,23833.33
86,2,TRUE,TRUE,FALSE,Islamshahr,40000
120,2,TRUE,TRUE,TRUE,Southern Program Organization,142000
95,2,TRUE,TRUE,TRUE,Andisheh,50000
70,2,TRUE,TRUE,FALSE,West Ferdows Boulevard,70666.67
75,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,66666.67
81,2,TRUE,FALSE,TRUE,Pardis,19666.67
65,1,TRUE,TRUE,FALSE,West Ferdows Boulevard,64333.33
75,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,91000
106,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,105000
115,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,153333.33
100,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,100000
118,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,150000
116,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,170000
76,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,73333.33
74,2,TRUE,TRUE,FALSE,East Ferdows Boulevard,76666.67
96,2,TRUE,TRUE,TRUE,Saadat Abad,150000
87,2,TRUE,TRUE,TRUE,Pardis,20833.33
43,1,TRUE,TRUE,FALSE,Northern Janatabad,54000
155,3,TRUE,TRUE,TRUE,Niavaran,568333.33
53,1,TRUE,TRUE,TRUE,East Ferdows Boulevard,64000
160,3,TRUE,TRUE,TRUE,Farmanieh,586666.67
78,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,75000
230,3,TRUE,TRUE,TRUE,Niavaran,843333.33
55,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,61666.67
120,2,TRUE,TRUE,FALSE,Saadat Abad,390000
78,2,TRUE,TRUE,TRUE,Southern Janatabad,120000
95,2,TRUE,TRUE,TRUE,Southern Janatabad,146666.67
170,3,TRUE,TRUE,TRUE,Gheitarieh,513333.33
175,3,TRUE,TRUE,TRUE,Shahrake Gharb,758333.33
115,3,TRUE,TRUE,TRUE,Punak,150000
113,2,TRUE,TRUE,TRUE,Punak,143333.33
85,2,TRUE,TRUE,TRUE,Punak,112666.67
140,3,TRUE,TRUE,TRUE,Saadat Abad,333333.33
90,2,TRUE,TRUE,TRUE,Saadat Abad,216666.67
63,1,TRUE,FALSE,FALSE,Punak,73333.33
75,2,TRUE,TRUE,TRUE,Central Janatabad,107333.33
130,3,TRUE,TRUE,TRUE,Punak,208000
91,2,TRUE,TRUE,TRUE,Punak,111666.67
121,3,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,121666.67
140,3,TRUE,TRUE,TRUE,Saadat Abad,516666.67
126,2,TRUE,TRUE,TRUE,East Ferdows Boulevard,183333.33
450,2,TRUE,TRUE,FALSE,Absard,140000
500,2,TRUE,TRUE,FALSE,Absard,130000
110,1,TRUE,TRUE,TRUE,Pasdaran,220000
145,3,TRUE,TRUE,TRUE,Haft Tir,156666.67
81,2,TRUE,TRUE,TRUE,Shahrake Qods,27000
64,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,73333.33
112,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,122666.67
192,3,TRUE,TRUE,TRUE,Marzdaran,422333.33
164,3,TRUE,TRUE,TRUE,Marzdaran,333333.33
135,3,TRUE,TRUE,TRUE,Pasdaran,270000
170,3,TRUE,TRUE,TRUE,Mahallati,306666.67
130,3,TRUE,TRUE,TRUE,Mahallati,173333.33
84,2,TRUE,TRUE,TRUE,Shahran,113333.33
82,2,TRUE,TRUE,TRUE,Shahran,118333.33
265,3,TRUE,TRUE,TRUE,Farmanieh,666666.67
60,1,TRUE,TRUE,TRUE,Southern Janatabad,65000
145,3,TRUE,TRUE,TRUE,Pasdaran,516666.67
65,1,FALSE,TRUE,TRUE,Southern Janatabad,66666.67
60,1,TRUE,TRUE,FALSE,Southern Janatabad,76000
63,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67
70,2,TRUE,TRUE,TRUE,Southern Janatabad,65000
92,2,TRUE,TRUE,TRUE,Feiz Garden,130000
98,2,TRUE,TRUE,TRUE,Pasdaran,260000
62,1,TRUE,TRUE,TRUE,Southern Janatabad,76000
65,1,TRUE,TRUE,TRUE,Punak,96666.67
90,2,TRUE,TRUE,TRUE,Ozgol,166666.67
59,2,TRUE,TRUE,TRUE,Southern Janatabad,63333.33
63,2,TRUE,TRUE,TRUE,Southern Janatabad,66666.67
60,2,TRUE,TRUE,TRUE,Southern Janatabad,73333.33
70,2,TRUE,TRUE,TRUE,Southern Janatabad,83333.33
60,1,TRUE,TRUE,TRUE,Southern Janatabad,73333.33
165,3,TRUE,TRUE,TRUE,Pasdaran,350000
135,2,TRUE,TRUE,TRUE,Zaferanieh,583333.33
65,1,TRUE,TRUE,TRUE,Southern Janatabad,66666.67
60,1,TRUE,TRUE,TRUE,Southern Janatabad,75000
60,1,TRUE,TRUE,TRUE,Southern Janatabad,75000
86,2,TRUE,TRUE,TRUE,Southern Janatabad,120000
109,2,TRUE,TRUE,TRUE,Heravi,200000
98,2,TRUE,TRUE,FALSE,Narmak,94733.33
80,2,TRUE,TRUE,TRUE,Central Janatabad,104000
143,3,TRUE,TRUE,TRUE,Gheitarieh,295333.33
95,2,TRUE,TRUE,TRUE,Saadat Abad,151666.67
86,2,TRUE,TRUE,TRUE,Punak,123333.33
160,3,TRUE,TRUE,TRUE,Gheitarieh,333333.33
200,3,TRUE,TRUE,TRUE,Pasdaran,552666.67
74,1,TRUE,TRUE,TRUE,Punak,108333.33
350,3,TRUE,TRUE,TRUE,Zaferanieh,1750000
87,2,TRUE,TRUE,TRUE,Northern Janatabad,118333.33
82,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,115000
55,1,TRUE,TRUE,TRUE,Shahr-e-Ziba,83000
148,3,TRUE,TRUE,TRUE,Ekhtiarieh,280000
55,1,TRUE,FALSE,TRUE,Shahr-e-Ziba,67333.33
100,2,TRUE,TRUE,FALSE,Southern Janatabad,126666.67
55,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,51666.67
130,3,TRUE,TRUE,TRUE,Central Janatabad,176666.67
335,4,TRUE,TRUE,TRUE,Saadat Abad,1116666.67
320,4,TRUE,TRUE,TRUE,Saadat Abad,1333333.33
192,3,TRUE,TRUE,TRUE,Saadat Abad,650000
100,2,TRUE,TRUE,TRUE,Gheitarieh,266666.67
148,3,TRUE,TRUE,TRUE,Saadat Abad,493333.33
145,2,TRUE,TRUE,TRUE,Shahrake Gharb,490000
192,4,TRUE,TRUE,TRUE,Saadat Abad,733333.33
235,3,TRUE,TRUE,TRUE,North Program Organization,548333.33
225,3,TRUE,TRUE,TRUE,Heravi,525000
221,4,TRUE,TRUE,TRUE,Saadat Abad,833333.33
312,4,TRUE,TRUE,TRUE,Farmanieh,1500000
188,3,TRUE,TRUE,TRUE,Ozgol,589066.67
170,2,TRUE,TRUE,TRUE,Farmanieh,413333.33
198,3,TRUE,TRUE,TRUE,Farmanieh,924000
80,2,TRUE,TRUE,TRUE,North Program Organization,103333.33
170,3,TRUE,TRUE,TRUE,Niavaran,623333.33
110,2,TRUE,TRUE,TRUE,Tajrish,220000
650,2,TRUE,TRUE,FALSE,Absard,173333.33
200,3,TRUE,TRUE,TRUE,Saadat Abad,400000
101,3,TRUE,TRUE,TRUE,Ekhtiarieh,216666.67
104,2,TRUE,TRUE,TRUE,Feiz Garden,128333.33
70,2,TRUE,TRUE,TRUE,Northern Janatabad,106666.67
76,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,85666.67
110,2,TRUE,TRUE,TRUE,Feiz Garden,143333.33
160,2,TRUE,TRUE,TRUE,Pasdaran,540000
179,3,TRUE,TRUE,TRUE,Dorous,460000
256,3,TRUE,TRUE,TRUE,Dorous,616666.67
90,2,TRUE,TRUE,TRUE,Feiz Garden,128333.33
77,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,85666.67
96,2,TRUE,TRUE,TRUE,Pasdaran,186666.67
75,1,TRUE,TRUE,TRUE,Central Janatabad,108333.33
79,2,TRUE,TRUE,TRUE,Abazar,100000
67,1,TRUE,TRUE,TRUE,Saadat Abad,113333.33
125,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,213333.33
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
91,2,TRUE,TRUE,TRUE,Saadat Abad,180000
105,2,TRUE,TRUE,TRUE,Parand,47250
66,2,TRUE,TRUE,TRUE,Ostad Moein,52833.33
86,2,TRUE,TRUE,TRUE,Southern Janatabad,109000
72,2,TRUE,TRUE,FALSE,Northern Janatabad,79333.33
148,2,TRUE,FALSE,TRUE,Koohsar,150000
84,2,TRUE,TRUE,TRUE,Saadat Abad,153333.33
128,2,TRUE,TRUE,TRUE,Niavaran,426666.67
65,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,130000
140,3,TRUE,TRUE,TRUE,Pasdaran,393333.33
115,2,TRUE,TRUE,TRUE,Ekhtiarieh,246666.67
105,2,TRUE,TRUE,TRUE,Saadat Abad,190000
87,2,TRUE,TRUE,TRUE,Pardis,21666.67
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
60,1,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,29166.67
68,1,TRUE,TRUE,TRUE,Southern Program Organization,87666.67
49,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,73333.33
103,2,TRUE,TRUE,TRUE,Hekmat,309000
55,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,73333.33
140,3,TRUE,TRUE,TRUE,Punak,256666.67
257,4,TRUE,TRUE,TRUE,Persian Gulf Martyrs Lake,428333.33
82,2,TRUE,TRUE,TRUE,Punak,133933.33
167,3,TRUE,TRUE,TRUE,Punak,356266.67
53,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,54666.67
51,1,FALSE,TRUE,FALSE,West Ferdows Boulevard,51666.67
54,1,TRUE,TRUE,FALSE,West Ferdows Boulevard,71000
82,2,TRUE,TRUE,TRUE,Sattarkhan,136666.67
75,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,93333.33
98,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,150666.67
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
70,1,TRUE,TRUE,TRUE,Niavaran,186666.67
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
64,1,TRUE,TRUE,TRUE,Ekbatan,123333.33
85,2,TRUE,TRUE,TRUE,Jeyhoon,70000
48,1,FALSE,TRUE,FALSE,Parastar,32666.67
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
246,3,TRUE,TRUE,TRUE,Ekhtiarieh,750000
168,3,TRUE,TRUE,TRUE,Gheitarieh,466666.67
280,4,TRUE,TRUE,TRUE,Saadat Abad,1283333.33
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
84,2,TRUE,TRUE,TRUE,Pardis,22666.67
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
108,2,TRUE,TRUE,TRUE,Gisha,172666.67
62,1,TRUE,TRUE,TRUE,Shahr-e-Ziba,86000
70,2,TRUE,TRUE,TRUE,Southern Janatabad,112333.33
180,3,TRUE,TRUE,TRUE,Pasdaran,330000
135,3,TRUE,TRUE,TRUE,Abazar,216000
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
108,2,TRUE,TRUE,TRUE,Farmanieh,206666.67
91,2,TRUE,TRUE,TRUE,Ekhtiarieh,172666.67
120,2,TRUE,TRUE,TRUE,Gheitarieh,296666.67
112,2,TRUE,TRUE,FALSE,Gheitarieh,250000
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
123,2,TRUE,TRUE,TRUE,Pirouzi,135300
69,2,TRUE,TRUE,TRUE,Pirouzi,60000
400,5,TRUE,TRUE,FALSE,Lavasan,2833333.33
660,5,TRUE,TRUE,FALSE,Lavasan,1833333.33
66,1,TRUE,FALSE,TRUE,Pirouzi,61666.67
80,2,TRUE,TRUE,TRUE,Ostad Moein,71666.67
44,1,TRUE,TRUE,FALSE,Pirouzi,29333.33
180,3,TRUE,TRUE,TRUE,East Ferdows Boulevard,312000
164,3,TRUE,TRUE,TRUE,East Ferdows Boulevard,328000
213,3,TRUE,TRUE,TRUE,East Ferdows Boulevard,482800
100,2,TRUE,TRUE,TRUE,Shahr-e-Ziba,113333.33
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
300,3,TRUE,TRUE,TRUE,Niavaran,1850000
126,3,TRUE,TRUE,TRUE,Ostad Moein,100000
85,2,TRUE,TRUE,TRUE,Majidieh,83333.33
75,2,TRUE,TRUE,FALSE,Shahr-e-Ziba,63000
57,1,FALSE,TRUE,TRUE,Parastar,42333.33
61,1,FALSE,TRUE,FALSE,Shahr-e-Ziba,66333.33
79,2,TRUE,TRUE,TRUE,Jeyhoon,60566.67
68,1,TRUE,TRUE,TRUE,Pirouzi,81666.67
